id_transaksi,id_seller,id_produk,tanggal,jam_transaksi,jenis_transaksi,kategori,qty,harga_satuan,total_harga,metode_pembayaran,event,diskon,status_transaksi
T000001,U006,P040,2025-08-23,10:47,Pemasukan,Fashion,2,50000,100000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000001,U006,P036,2025-08-23,10:47,Pemasukan,Fashion,1,150000,150000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000002,U005,P032,2026-10-10,08:35,Pemasukan,Laundry,5,15000,75000,QRIS,10.10 Sale,Harga Normal,Berhasil
T000002,U005,P034,2026-10-10,08:35,Pemasukan,Laundry,1,7000,7000,QRIS,10.10 Sale,Harga Normal,Berhasil
T000003,U002,P007,2026-07-14,12:17,Pemasukan,Sembako,7,70000,416500,QRIS,Tidak Ada Event,Diskon 15%,Berhasil
T000004,U003,P022,2026-03-25,16:51,Pemasukan,Frozen Food,1,15000,15000,QRIS,Lebaran,Harga Normal,Berhasil
T000005,U006,P038,2026-05-06,19:12,Pemasukan,Fashion,1,75000,75000,Transfer,Tidak Ada Event,Harga Normal,Berhasil
T000006,U001,P003,2026-02-26,20:29,Pemasukan,Minuman,2,18000,36000,Cash,Ramadan,Harga Normal,Berhasil
T000006,U001,P001,2026-02-26,20:29,Pemasukan,Minuman,2,15000,30000,Cash,Ramadan,Harga Normal,Berhasil
T000007,U004,P026,2025-07-04,16:44,Pemasukan,Bakery,3,18000,54000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000007,U004,P027,2025-07-04,16:44,Pemasukan,Bakery,1,22000,22000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000007,U004,P030,2025-07-04,16:44,Pemasukan,Bakery,3,28000,84000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000008,U004,P030,2025-11-10,16:29,Pemasukan,Bakery,4,28000,112000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000008,U004,P028,2025-11-10,16:29,Pemasukan,Bakery,4,15000,60000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000009,U002,P012,2026-12-06,08:48,Pemasukan,Snack,5,18000,90000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000010,U004,P026,2026-06-03,13:33,Pemasukan,Bakery,3,18000,51300,QRIS,Tidak Ada Event,Diskon 5%,Berhasil
