id_transaksi,id_seller,id_produk,tanggal,jam_transaksi,jenis_transaksi,kategori,qty,harga_satuan,total_harga,metode_pembayaran,event,diskon,status_transaksi,user_encoded,product_encoded,interaction
T000001,U006,P040,2025-08-23,10:47,Pemasukan,Fashion,2,50000,100000,QRIS,Tidak Ada Event,Harga Normal,Berhasil,5,39,0.2
T000001,U006,P036,2025-08-23,10:47,Pemasukan,Fashion,1,150000,150000,QRIS,Tidak Ada Event,Harga Normal,Berhasil,5,35,0.1
T000002,U005,P032,2026-10-10,08:35,Pemasukan,Laundry,5,15000,75000,QRIS,10.10 Sale,Harga Normal,Berhasil,4,31,0.5
T000002,U005,P034,2026-10-10,08:35,Pemasukan,Laundry,1,7000,7000,QRIS,10.10 Sale,Harga Normal,Berhasil,4,33,0.1
T000003,U002,P007,2026-07-14,12:17,Pemasukan,Sembako,7,70000,416500,QRIS,Tidak Ada Event,Diskon 15%,Berhasil,1,6,0.7
T000004,U003,P022,2026-03-25,16:51,Pemasukan,Frozen Food,1,15000,15000,QRIS,Lebaran,Harga Normal,Berhasil,2,21,0.1
T000005,U006,P038,2026-05-06,19:12,Pemasukan,Fashion,1,75000,75000,Transfer,Tidak Ada Event,Harga Normal,Berhasil,5,37,0.1
T000006,U001,P003,2026-02-26,20:29,Pemasukan,Minuman,2,18000,36000,Cash,Ramadan,Harga Normal,Berhasil,0,2,0.2
T000006,U001,P001,2026-02-26,20:29,Pemasukan,Minuman,2,15000,30000,Cash,Ramadan,Harga Normal,Berhasil,0,0,0.2
T000007,U004,P026,2025-07-04,16:44,Pemasukan,Bakery,3,18000,54000,Cash,Tidak Ada Event,Harga Normal,Berhasil,3,25,0.3
T000007,U004,P027,2025-07-04,16:44,Pemasukan,Bakery,1,22000,22000,Cash,Tidak Ada Event,Harga Normal,Berhasil,3,26,0.1
T000007,U004,P030,2025-07-04,16:44,Pemasukan,Bakery,3,28000,84000,Cash,Tidak Ada Event,Harga Normal,Berhasil,3,29,0.3
T000008,U004,P030,2025-11-10,16:29,Pemasukan,Bakery,4,28000,112000,QRIS,Tidak Ada Event,Harga Normal,Berhasil,3,29,0.4
T000008,U004,P028,2025-11-10,16:29,Pemasukan,Bakery,4,15000,60000,QRIS,Tidak Ada Event,Harga Normal,Berhasil,3,27,0.4
T000009,U002,P012,2026-12-06,08:48,Pemasukan,Snack,5,18000,90000,QRIS,Tidak Ada Event,Harga Normal,Berhasil,1,11,0.5
T000010,U004,P026,2026-06-03,13:33,Pemasukan,Bakery,3,18000,51300,QRIS,Tidak Ada Event,Diskon 5%,Berhasil,3,25,0.3
T000011,U003,P020,2024-11-06,16:27,Pemasukan,Makanan,2,15000,30000,QRIS,Tidak Ada Event,Harga Normal,Berhasil,2,19,0.2
T000011,U003,P024,2024-11-06,16:27,Pemasukan,Frozen Food,1,22000,22000,QRIS,Tidak Ada Event,Harga Normal,Berhasil,2,23,0.1
T000012,U003,P024,2026-11-23,22:32,Pemasukan,Frozen Food,5,22000,110000,Cash,Tidak Ada Event,Harga Normal,Berhasil,2,23,0.5
T000012,U003,P025,2026-11-23,22:32,Pemasukan,Frozen Food,1,25000,25000,Cash,Tidak Ada Event,Harga Normal,Berhasil,2,24,0.1
T000012,U003,P016,2026-11-23,22:32,Pemasukan,Makanan,3,35000,105000,Cash,Tidak Ada Event,Harga Normal,Berhasil,2,15,0.3
T000013,U003,P017,2025-03-17,12:15,Pemasukan,Makanan,2,20000,40000,Cash,Ramadan,Harga Normal,Berhasil,2,16,0.2
T000013,U003,P024,2025-03-17,12:15,Pengeluaran,Frozen Food,4,22000,88000,Cash,Ramadan,Harga Normal,Berhasil,2,23,0.4
T000014,U002,P009,2025-08-25,15:55,Pemasukan,Sembako,6,28000,142800,Cash,Tidak Ada Event,Diskon 15%,Berhasil,1,8,0.6
T000014,U002,P010,2025-08-25,15:55,Pemasukan,Sembako,9,12000,91800,Cash,Tidak Ada Event,Diskon 15%,Berhasil,1,9,0.9
T000014,U002,P012,2025-08-25,15:55,Pemasukan,Snack,2,18000,30600,Cash,Tidak Ada Event,Diskon 15%,Berhasil,1,11,0.2
T000015,U003,P016,2024-08-05,21:35,Pemasukan,Makanan,2,35000,70000,QRIS,Tidak Ada Event,Harga Normal,Berhasil,2,15,0.2
T000016,U001,P002,2025-11-16,18:32,Pemasukan,Minuman,4,20000,80000,QRIS,Tidak Ada Event,Harga Normal,Berhasil,0,1,0.4
T000017,U004,P029,2025-11-21,09:06,Pemasukan,Bakery,1,12000,12000,QRIS,Tidak Ada Event,Harga Normal,Berhasil,3,28,0.1
T000017,U004,P026,2025-11-21,09:06,Pemasukan,Bakery,3,18000,54000,QRIS,Tidak Ada Event,Harga Normal,Berhasil,3,25,0.3
T000018,U001,P004,2025-06-02,19:12,Pemasukan,Minuman,2,10000,20000,Cash,Tidak Ada Event,Harga Normal,Berhasil,0,3,0.2
T000019,U001,P001,2026-07-05,22:06,Pemasukan,Minuman,4,15000,48000,QRIS,Tidak Ada Event,Diskon 20%,Berhasil,0,0,0.4
T000019,U001,P002,2026-07-05,22:06,Pemasukan,Minuman,2,20000,32000,QRIS,Tidak Ada Event,Diskon 20%,Berhasil,0,1,0.2
T000019,U001,P005,2026-07-05,22:06,Pemasukan,Minuman,1,5000,4000,QRIS,Tidak Ada Event,Diskon 20%,Berhasil,0,4,0.1
T000020,U001,P005,2026-03-19,20:59,Pemasukan,Minuman,3,5000,15000,Cash,Ramadan,Harga Normal,Berhasil,0,4,0.3
T000020,U001,P004,2026-03-19,20:59,Pemasukan,Minuman,1,10000,10000,Cash,Ramadan,Harga Normal,Berhasil,0,3,0.1
T000020,U001,P001,2026-03-19,20:59,Pemasukan,Minuman,1,15000,15000,Cash,Ramadan,Harga Normal,Berhasil,0,0,0.1
T000020,U001,P003,2026-03-19,20:59,Pemasukan,Minuman,1,18000,18000,Cash,Ramadan,Harga Normal,Berhasil,0,2,0.1
