id_log,id_produk,id_seller,tanggal,jenis_perubahan,jumlah,stok_sebelum,stok_sesudah,alasan
L001166,P005,U001,2024-01-10,Retur Supplier,18,2893,2911,Pengembalian supplier
L001416,P005,U001,2024-01-11,Restock,15,3002,3017,Pembelian supplier
L004285,P002,U001,2024-01-12,Penyesuaian,73,2571,2498,Audit stok
L000799,P001,U001,2024-01-12,Restock,57,1900,1957,Pembelian supplier
L005248,P005,U001,2024-01-16,Penjualan,74,3620,3546,Produk terjual
L005057,P002,U001,2024-01-16,Restock,17,2467,2484,Pembelian supplier
L004610,P003,U001,2024-01-16,Restock,17,2714,2731,Pembelian supplier
L002176,P004,U001,2024-01-16,Penyesuaian,52,784,732,Audit stok
L003681,P002,U001,2024-01-16,Kadaluarsa,40,2101,2061,Melewati masa jual
L005376,P003,U001,2024-01-16,Restock,16,2631,2647,Pembelian supplier
L004509,P002,U001,2024-01-17,Penyesuaian,3,2493,2490,Audit stok
L001375,P003,U001,2024-01-18,Restock,77,1127,1204,Pembelian supplier
L003865,P001,U001,2024-01-18,Penjualan,6,2713,2707,Produk terjual
L005676,P001,U001,2024-01-19,Restock,39,3578,3617,Pembelian supplier
L000593,P003,U001,2024-01-20,Penjualan,47,916,869,Produk terjual
L004324,P003,U001,2024-01-21,Restock,26,2379,2405,Pembelian supplier
L004084,P005,U001,2024-01-23,Penjualan,77,3510,3433,Produk terjual
L001331,P002,U001,2024-01-23,Penjualan,36,1200,1164,Produk terjual
L001511,P001,U001,2024-01-23,Restock,12,2315,2327,Pembelian supplier
L001414,P005,U001,2024-01-26,Penjualan,52,3054,3002,Produk terjual
L005049,P003,U001,2024-01-26,Restock,28,2339,2367,Pembelian supplier
L000063,P004,U001,2024-01-29,Penjualan,73,695,622,Produk terjual
L002370,P001,U001,2024-01-29,Penjualan,44,2839,2795,Produk terjual
L004608,P004,U001,2024-01-29,Restock,80,1417,1497,Pembelian supplier
L002541,P003,U001,2024-01-29,Penyesuaian,2,1464,1462,Audit stok
