id_transaksi,id_seller,id_produk,tanggal,jam_transaksi,jenis_transaksi,kategori,qty,harga_satuan,total_harga,metode_pembayaran,event,diskon,status_transaksi
T000001,U006,P026,2025-08-23,13:14,Pemasukan,Fashion,2,85000,170000,QRIS,Tidak Ada Event,Diskon 5%,Berhasil
T000002,U005,P025,2025-05-01,08:01,Pemasukan,Jasa Laundry,7,12000,84000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000003,U001,P005,2025-02-20,19:28,Pemasukan,Snack,4,12000,48000,QRIS,Tidak Ada Event,Diskon 15%,Berhasil
T000004,U006,P028,2026-07-07,12:13,Pengeluaran,Fashion,2,95000,190000,QRIS,7.7 Sale,Harga Normal,Berhasil
T000005,U004,P018,2025-01-08,15:16,Pemasukan,Bakery,3,15000,45000,Transfer,Tidak Ada Event,Harga Normal,Berhasil
T000006,U001,P001,2026-02-23,23:39,Pemasukan,Minuman,3,18000,54000,QRIS,Ramadan,Harga Normal,Berhasil
T000007,U006,P026,2025-07-11,14:05,Pemasukan,Fashion,1,85000,85000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000008,U004,P018,2026-07-13,11:22,Pemasukan,Bakery,2,15000,30000,QRIS,Tidak Ada Event,Diskon 5%,Berhasil
T000009,U006,P030,2025-07-13,18:46,Pemasukan,Fashion,1,55000,55000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000010,U006,P027,2026-11-22,10:14,Pemasukan,Fashion,2,65000,130000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000011,U001,P005,2025-03-17,20:13,Pemasukan,Snack,6,12000,72000,QRIS,Ramadan,Diskon 5%,Berhasil
T000012,U002,P007,2025-08-25,18:35,Pemasukan,Sembako,4,18000,72000,Transfer,Tidak Ada Event,Harga Normal,Berhasil
T000013,U005,P023,2026-03-16,10:32,Pemasukan,Laundry,4,15000,60000,Transfer,Ramadan,Harga Normal,Berhasil
T000014,U002,P009,2025-01-22,08:24,Pemasukan,Makanan,5,3500,17500,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000015,U005,P021,2025-02-12,18:21,Pemasukan,Laundry,5,12000,60000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000016,U001,P005,2025-07-02,22:58,Pemasukan,Snack,2,12000,24000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000017,U005,P022,2026-10-17,13:48,Pemasukan,Laundry,3,10000,30000,Transfer,Tidak Ada Event,Harga Normal,Berhasil
T000018,U005,P024,2025-12-29,09:59,Pemasukan,Jasa Laundry,1,7000,7000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000019,U002,P006,2024-08-09,20:04,Pengeluaran,Sembako,8,75000,600000,Cash,Tidak Ada Event,Diskon 20%,Berhasil
T000020,U002,P010,2026-10-30,11:33,Pemasukan,Minuman,2,2500,5000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000021,U006,P028,2025-11-22,20:41,Pemasukan,Fashion,2,95000,190000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000022,U002,P006,2025-06-04,07:37,Pemasukan,Sembako,6,75000,450000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000023,U001,P002,2024-05-09,18:55,Pemasukan,Minuman,1,15000,15000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000024,U006,P027,2026-09-10,21:59,Pemasukan,Fashion,1,65000,65000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000025,U004,P017,2025-11-21,07:42,Pemasukan,Bakery,1,8000,8000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000026,U006,P026,2025-06-25,16:46,Pemasukan,Fashion,1,85000,85000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000027,U002,P007,2026-09-05,09:17,Pemasukan,Sembako,7,18000,126000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000028,U001,P005,2024-04-22,18:59,Pemasukan,Snack,1,12000,12000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000029,U004,P017,2026-02-05,06:10,Pemasukan,Bakery,4,8000,32000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000030,U003,P015,2025-09-21,14:12,Pemasukan,Frozen Food,4,18000,72000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000031,U005,P023,2025-04-04,08:37,Pemasukan,Laundry,1,15000,15000,Cash,4.4 Sale,Harga Normal,Berhasil
T000032,U005,P022,2025-04-24,17:04,Pemasukan,Laundry,2,10000,20000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000033,U005,P025,2025-10-11,08:39,Pemasukan,Jasa Laundry,10,12000,120000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000034,U005,P023,2025-12-21,18:45,Pemasukan,Laundry,4,15000,60000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000035,U006,P029,2026-03-04,11:00,Pemasukan,Fashion,2,45000,90000,Cash,Ramadan,Harga Normal,Berhasil
T000036,U005,P025,2025-09-07,10:59,Pemasukan,Jasa Laundry,5,12000,60000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000037,U003,P014,2024-12-23,16:39,Pengeluaran,Frozen Food,5,12000,60000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000038,U006,P028,2026-11-19,12:16,Pemasukan,Fashion,1,95000,95000,QRIS,Tidak Ada Event,Diskon 15%,Berhasil
T000039,U002,P008,2025-09-09,10:45,Pemasukan,Sembako,10,16000,160000,Cash,9.9 Sale,Harga Normal,Berhasil
T000040,U005,P023,2026-06-16,09:40,Pemasukan,Laundry,1,15000,15000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000041,U003,P012,2026-09-12,14:47,Pemasukan,Makanan,3,18000,54000,Transfer,Tidak Ada Event,Harga Normal,Berhasil
T000042,U001,P001,2024-08-26,22:02,Pemasukan,Minuman,2,18000,36000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000043,U004,P016,2025-02-08,11:57,Pengeluaran,Bakery,3,12000,36000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000044,U006,P026,2026-01-11,18:56,Pemasukan,Fashion,2,85000,170000,Cash,Tidak Ada Event,Diskon 15%,Berhasil
T000045,U002,P007,2025-01-27,07:11,Pemasukan,Sembako,7,18000,126000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000046,U006,P028,2026-01-10,21:06,Pemasukan,Fashion,1,95000,95000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000047,U002,P008,2026-09-29,20:50,Pemasukan,Sembako,5,16000,80000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000048,U002,P008,2026-05-26,20:04,Pengeluaran,Sembako,5,16000,80000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000049,U005,P025,2026-03-17,08:07,Pemasukan,Jasa Laundry,6,12000,72000,QRIS,Ramadan,Harga Normal,Berhasil
T000050,U003,P011,2024-08-23,18:22,Pemasukan,Makanan,5,20000,100000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000051,U005,P024,2025-05-30,11:16,Pemasukan,Jasa Laundry,10,7000,70000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000052,U005,P022,2026-12-19,14:04,Pengeluaran,Laundry,6,10000,60000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000053,U006,P028,2025-09-05,20:26,Pemasukan,Fashion,2,95000,190000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000054,U002,P009,2025-03-28,17:47,Pemasukan,Makanan,4,3500,14000,Cash,Ramadan,Harga Normal,Berhasil
T000055,U004,P016,2026-04-15,10:13,Pemasukan,Bakery,3,12000,36000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000056,U003,P014,2025-11-03,22:13,Pemasukan,Frozen Food,4,12000,48000,Transfer,Tidak Ada Event,Harga Normal,Berhasil
T000057,U001,P005,2025-08-13,23:39,Pemasukan,Snack,6,12000,72000,Transfer,Tidak Ada Event,Harga Normal,Berhasil
T000058,U003,P012,2025-03-02,12:02,Pemasukan,Makanan,2,18000,36000,Cash,Ramadan,Harga Normal,Dibatalkan
T000059,U001,P004,2026-07-30,23:44,Pemasukan,Bakery,2,18000,36000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000060,U006,P026,2025-05-06,13:11,Pemasukan,Fashion,2,85000,170000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000061,U001,P001,2025-06-03,19:51,Pemasukan,Minuman,4,18000,72000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000062,U003,P014,2026-08-27,20:27,Pemasukan,Frozen Food,5,12000,60000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000063,U006,P029,2026-08-30,13:53,Pemasukan,Fashion,2,45000,90000,Transfer,Tidak Ada Event,Diskon 20%,Berhasil
T000064,U004,P017,2026-07-04,13:04,Pemasukan,Bakery,3,8000,24000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000065,U003,P011,2026-01-19,14:14,Pemasukan,Makanan,2,20000,40000,QRIS,Tidak Ada Event,Diskon 10%,Berhasil
T000066,U001,P004,2026-05-08,22:29,Pemasukan,Bakery,3,18000,54000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000067,U005,P025,2025-02-21,15:00,Pengeluaran,Jasa Laundry,7,12000,84000,QRIS,Tidak Ada Event,Diskon 15%,Berhasil
T000068,U004,P020,2026-04-05,13:14,Pemasukan,Minuman,2,18000,36000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000069,U003,P014,2026-05-30,19:58,Pemasukan,Frozen Food,2,12000,24000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000070,U004,P020,2026-05-30,07:41,Pemasukan,Minuman,1,18000,18000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000071,U003,P013,2025-08-07,19:20,Pemasukan,Minuman,2,6000,12000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000072,U004,P016,2025-06-16,06:47,Pemasukan,Bakery,4,12000,48000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000073,U001,P001,2024-04-01,19:53,Pemasukan,Minuman,2,18000,36000,QRIS,Ramadan,Harga Normal,Berhasil
T000074,U004,P016,2026-08-17,13:44,Pemasukan,Bakery,2,12000,24000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000075,U005,P022,2025-05-29,09:37,Pemasukan,Laundry,5,10000,50000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000076,U004,P017,2025-11-11,15:44,Pemasukan,Bakery,1,8000,8000,QRIS,11.11 Sale,Harga Normal,Berhasil
T000077,U003,P015,2026-12-02,21:50,Pemasukan,Frozen Food,1,18000,18000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000078,U003,P015,2024-09-23,12:54,Pemasukan,Frozen Food,3,18000,54000,Cash,Tidak Ada Event,Harga Normal,Berhasil
